SPEC_NMK_NOTE,SPEC_NMK_NAME,CLASSIF,FORMAT,ZONE,POSITION,NOTE,NAME,QUANTITY,COMMENT
ГТ3660300,Диффузор,Документация,А1,,,ГТ3660300СБ,Сборочный чертеж,,""
ГТ3660300,Диффузор,Документация,"",,,ГТ3660300ВП,Ведомость покупных изделий покупных изделий,,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,1,ГТ3660480,Проушина,4,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,2,ГТ3661300,Заглушка,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,3,ГТ3661310,Заглушка,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,4,ГТ3661320,Каркас диффузора,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,5,ГТ3661330,Люк,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,6,ГТ3661360,Рамка,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,7,ГТ3661380,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,8,ГТ3661380-01,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,9,ГТ3661390,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,10,ГТ3661390-01,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,11,ГТ3661400,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,12,ГТ3661400-01,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,13,ГТ3661410,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,14,ГТ3661410-01,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,15,ГТ3661420,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,16,ГТ3661420-01,Облицовка угловая,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,17,ГТ9935010,Петля,1,""
ГТ3660300,Диффузор,Сборочные единицы,А4,,18,ГТ9935020,Петля,1,""
ГТ3660300,Диффузор,Детали,*),,29,ГТ3661013,Облицовка,1,"*) А3, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,30,ГТ3661013-01,Облицовка,1,"*) А3, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,31,ГТ3661014,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,32,ГТ3661014-01,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,33,ГТ3661015,Облицовка,1,"*) 260x400, 1300x1500 "
ГТ3660300,Диффузор,Детали,*),,34,ГТ3661015-01,Облицовка,1,"*) 260x400, 1300x1500 "
ГТ3660300,Диффузор,Детали,*),,35,ГТ3661016,Облицовка,1,"*) А3, 1400x1400 "
ГТ3660300,Диффузор,Детали,*),,36,ГТ3661017,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,37,ГТ3661018,Облицовка,1,"*) 297x400, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,38,ГТ3661019,Облицовка,1,"*) 280x400, 1500x2000 "
ГТ3660300,Диффузор,Детали,*),,39,ГТ3661019-01,Облицовка,1,"*) 280x400, 1500x2000 "
ГТ3660300,Диффузор,Детали,*),,40,ГТ3661021,Облицовка,1,"*) А3, 1500x2000 "
ГТ3660300,Диффузор,Детали,*),,41,ГТ3661021-01,Облицовка,1,"*) А3, 1500x2000 "
ГТ3660300,Диффузор,Детали,А3,,42,ГТ3661022,Облицовка,2,""
ГТ3660300,Диффузор,Детали,*),,43,ГТ3661023,Облицовка,2,"*) 270x380, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,44,ГТ3661024,Облицовка,1,"*) А3, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,45,ГТ3661024-01,Облицовка,1,"*) А3, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,46,ГТ3661025,Облицовка,1,"*) А4, 1000x1200 "
ГТ3660300,Диффузор,Детали,*),,47,ГТ3661025-01,Облицовка,1,"*) А4, 1000x1200 "
ГТ3660300,Диффузор,Детали,*),,48,ГТ3661026,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,49,ГТ3661026-01,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,50,ГТ3661027,Облицовка,1,"*) 210x300, 1700x2000 "
ГТ3660300,Диффузор,Детали,*),,51,ГТ3661027-01,Облицовка,1,"*) 210x300, 1700x2000 "
ГТ3660300,Диффузор,Детали,*),,52,ГТ3661028,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,53,ГТ3661028-01,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,54,ГТ3661029,Облицовка,1,"*) А3, 1600x1800 "
ГТ3660300,Диффузор,Детали,*),,55,ГТ3661031,Облицовка,1,"*) А4, 1600x2000 "
ГТ3660300,Диффузор,Детали,*),,56,ГТ3661032,Облицовка,1,"*) А3, 2000x2000 "
ГТ3660300,Диффузор,Детали,*),,57,ГТ3661033,Облицовка угловая,1,"*) 250x500, 700x2000 "
ГТ3660300,Диффузор,Детали,*),,58,ГТ3661033-01,Облицовка угловая,1,"*) 250x500, 700x2000 "
ГТ3660300,Диффузор,Детали,*),,59,ГТ3661036,Пластина,28,"*) А4, 100x200 "
ГТ3660300,Диффузор,Детали,А3,,60,ГТ3661037,Прокладка,1,""
ГТ3660300,Диффузор,Детали,А4,,62,ГТ9944004,Ось,2,""
ГТ3660300,Диффузор,Детали,А4,,63,ГТ9944005,Ось,4,""
ГТ3660300,Диффузор,Детали,А4,,64,ГТ9973001,Знак заземления,2,""
ГТ3660300,Диффузор,Детали,А4,,65,ГТ9987001,Шайба,342,""
ГТ3660300,Диффузор,Стандартные изделия,"",,76,"",Болт с шестигранной головкой ГОСТ Р ИСО 4014 - М12х60 - 8.8 - А3Р,28,""
